time,bid-price,bid-volume,ask-price,ask-volume
2008-01-02 18:19:26.612999936,62.66,2,62.69,1
2008-01-02 18:19:26.688999168,62.66,5,62.69,1
2008-01-02 18:19:26.688999168,62.66,2,62.69,1
2008-01-02 18:19:26.688999168,62.66,2,62.71,5
2008-01-02 18:19:26.688999168,62.66,2,62.68,1
2008-01-02 18:19:26.688999168,62.66,1,62.68,1
2008-01-02 18:19:29.119000064,62.66,3,62.68,1
2008-01-02 18:19:29.857999616,62.66,1,62.68,1
2008-01-02 18:19:30.274000384,62.65,2,62.68,1
2008-01-02 18:19:30.329999872,62.65,2,62.71,7
2008-01-02 18:19:30.329999872,62.65,2,62.67,1
2008-01-02 18:19:30.661000192,62.65,2,62.66,2
2008-01-02 18:19:31.860000512,62.64,1,62.66,2
2008-01-02 18:19:32.159000064,62.64,1,62.68,2
2008-01-02 18:19:32.480999680,62.62,1,62.68,2
2008-01-02 18:19:32.633999872,62.64,3,62.68,2
2008-01-02 18:19:32.923000064,62.64,5,62.68,2
2008-01-02 18:19:33.354000128,62.64,3,62.68,2
2008-01-02 18:19:33.519000064,62.65,2,62.68,2
2008-01-02 18:19:33.915999744,62.65,5,62.68,2
2008-01-02 18:19:33.915999744,62.65,2,62.68,2
2008-01-02 18:19:36.139000064,62.65,3,62.68,2
2008-01-02 18:19:39.568000256,62.65,2,62.68,2
2008-01-02 18:19:39.988000256,62.65,2,62.68,1
2008-01-02 18:19:40.116000256,62.65,1,62.68,1
2008-01-02 18:19:40.116000256,62.65,1,62.67,1
2008-01-02 18:19:40.116000256,62.62,2,62.67,1
2008-01-02 18:19:40.128999936,62.64,2,62.67,1
2008-01-02 18:19:40.226999552,62.64,2,62.65,2
2008-01-02 18:19:40.226999552,62.62,2,62.65,2
2008-01-02 18:19:40.226999552,62.62,2,62.63,2
2008-01-02 18:19:40.514000128,62.62,1,62.63,2
2008-01-02 18:19:40.669999872,62.59,2,62.63,2
2008-01-02 18:19:40.683000064,62.57,16,62.63,2
2008-01-02 18:19:40.738000128,62.61,2,62.63,2
2008-01-02 18:19:41.027999744,62.6,2,62.63,2
2008-01-02 18:19:41.038999808,62.61,1,62.63,2
2008-01-02 18:19:41.038999808,62.61,1,62.63,3
2008-01-02 18:19:41.108000256,62.6,2,62.63,3
2008-01-02 18:19:41.289999872,62.6,4,62.63,3
2008-01-02 18:19:41.376000000,62.6,2,62.63,3
2008-01-02 18:19:42.049999360,62.57,5,62.63,3
2008-01-02 18:19:42.349999616,62.61,2,62.63,3
2008-01-02 18:19:42.612999936,62.58,2,62.63,3
2008-01-02 18:19:42.612999936,62.59,4,62.63,3
2008-01-02 18:19:42.612999936,62.59,4,62.62,1
2008-01-02 18:19:42.862999808,62.59,5,62.62,1
2008-01-02 18:19:43.108000256,62.59,7,62.62,1
2008-01-02 18:19:43.329999616,62.59,6,62.62,1
2008-01-02 18:19:43.974999552,62.59,8,62.62,1
2008-01-02 18:19:44.231000576,62.59,6,62.62,1
2008-01-02 18:19:45.134000128,62.59,4,62.62,1
2008-01-02 18:19:45.360999680,62.6,2,62.62,1
2008-01-02 18:19:45.618999808,62.6,2,62.65,4
2008-01-02 18:19:45.618999808,62.6,2,62.63,1
2008-01-02 18:19:45.783999744,62.6,4,62.63,1
2008-01-02 18:19:46.343000064,62.6,2,62.63,1
2008-01-02 18:19:47.139000064,62.6,4,62.63,1
2008-01-02 18:19:47.933000448,62.6,4,62.62,1
2008-01-02 18:19:47.933000448,62.6,2,62.62,1
2008-01-02 18:19:48.424000000,62.6,2,62.62,2
2008-01-02 18:19:48.535000064,62.6,2,62.61,1
2008-01-02 18:19:48.535000064,62.57,4,62.61,1
2008-01-02 18:19:48.535000064,62.58,1,62.61,1
2008-01-02 18:19:48.613999616,62.58,1,62.61,2
2008-01-02 18:19:48.694000128,62.57,4,62.61,2
2008-01-02 18:19:48.940000000,62.56,2,62.61,2
2008-01-02 18:19:48.948000000,62.58,2,62.61,2
2008-01-02 18:19:48.948000000,62.54,25,62.61,2
2008-01-02 18:19:49.005999872,62.54,18,62.61,2
2008-01-02 18:19:49.005999872,62.57,2,62.61,2
2008-01-02 18:19:49.023000320,62.57,4,62.61,2
2008-01-02 18:19:49.344000256,62.57,6,62.61,2
2008-01-02 18:19:49.838000384,62.57,4,62.61,2
2008-01-02 18:19:49.963999744,62.57,4,62.6,1
2008-01-02 18:19:49.975000576,62.57,2,62.6,1
2008-01-02 18:19:50.028000000,62.54,17,62.6,1
2008-01-02 18:19:50.184000256,62.58,2,62.6,1
2008-01-02 18:19:52.225000704,62.58,2,62.61,1
2008-01-02 18:19:52.324000000,62.58,2,62.61,2
2008-01-02 18:19:52.324000000,62.58,3,62.61,2
2008-01-02 18:19:52.324000000,62.58,3,62.61,1
2008-01-02 18:19:52.404000000,62.58,5,62.61,1
2008-01-02 18:19:52.567000064,62.58,7,62.61,1
2008-01-02 18:19:52.638000128,62.58,7,62.62,2
2008-01-02 18:19:52.638000128,62.58,9,62.62,2
2008-01-02 18:19:52.879000576,62.58,7,62.62,2
2008-01-02 18:19:52.945000448,62.59,2,62.62,2
2008-01-02 18:19:53.268000768,62.59,4,62.62,2
2008-01-02 18:19:54.148000000,62.59,2,62.62,2
2008-01-02 18:19:55.110000128,62.58,5,62.62,2
2008-01-02 18:19:55.300000512,62.59,1,62.62,2
2008-01-02 18:19:55.522000128,62.59,3,62.62,2
2008-01-02 18:19:55.522000128,62.59,3,62.62,1
2008-01-02 18:19:55.522000128,62.59,5,62.62,1
2008-01-02 18:19:55.532999936,62.59,3,62.62,1
2008-01-02 18:19:56.141999616,62.59,5,62.62,1
2008-01-02 18:19:57.380000256,62.59,7,62.62,1
2008-01-02 18:19:58.096999936,62.59,5,62.62,1
2008-01-02 18:19:58.249999616,62.6,2,62.62,1
2008-01-02 18:19:58.249999616,62.6,2,62.62,2
2008-01-02 18:19:58.402999808,62.59,1,62.62,2
2008-01-02 18:19:58.402999808,62.58,2,62.62,2
2008-01-02 18:19:58.555999488,62.58,2,62.61,1
2008-01-02 18:19:58.674999808,62.56,7,62.61,1
2008-01-02 18:19:58.674999808,62.56,7,62.62,1
2008-01-02 18:19:58.674999808,62.56,7,62.6,2
2008-01-02 18:19:58.674999808,62.56,7,62.6,3
2008-01-02 18:19:58.909999104,62.55,15,62.6,3
2008-01-02 18:19:58.909999104,62.55,15,62.6,2
2008-01-02 18:19:58.909999104,62.55,15,62.59,1
2008-01-02 18:19:58.909999104,62.55,7,62.59,1
2008-01-02 18:19:58.909999104,62.55,7,62.59,1
2008-01-02 18:19:59.284000000,62.55,9,62.59,1
2008-01-02 18:19:59.463999744,62.55,9,62.6,2
2008-01-02 18:19:59.473000192,62.55,9,62.58,1
2008-01-02 18:19:59.473000192,62.55,7,62.58,1
2008-01-02 18:19:59.531000064,62.54,1,62.58,1
2008-01-02 18:19:59.817999872,62.54,3,62.58,1
2008-01-02 18:19:59.913999872,62.54,1,62.58,1
2008-01-02 18:20:00.222000384,62.52,4,62.58,1
2008-01-02 18:20:00.467000064,62.51,10,62.58,1
2008-01-02 18:20:00.469000192,62.52,2,62.58,1
2008-01-02 18:20:00.521000448,62.53,2,62.58,1
2008-01-02 18:20:00.543000320,62.53,2,62.6,2
2008-01-02 18:20:00.593000704,62.53,2,62.6,4
2008-01-02 18:20:00.593000704,62.53,2,62.57,1
2008-01-02 18:20:00.834000384,62.53,2,62.58,1
2008-01-02 18:20:00.914000896,62.53,2,62.56,1
2008-01-02 18:20:01.304000000,62.53,4,62.56,1
2008-01-02 18:20:01.323999744,62.53,4,62.59,1
2008-01-02 18:20:01.323999744,62.56,1,62.59,1
2008-01-02 18:20:01.418999552,62.53,4,62.59,1
2008-01-02 18:20:01.418999552,62.54,2,62.59,1
2008-01-02 18:20:01.655999744,62.54,9,62.59,1
2008-01-02 18:20:01.699999744,62.54,9,62.59,3
2008-01-02 18:20:01.699999744,62.54,16,62.59,3
2008-01-02 18:20:01.699999744,62.54,14,62.59,3
2008-01-02 18:20:01.733000448,62.54,14,62.59,1
2008-01-02 18:20:01.898999808,62.54,14,62.59,1
2008-01-02 18:20:01.919000064,62.54,16,62.59,1
2008-01-02 18:20:02.528999680,62.57,2,62.59,1
2008-01-02 18:20:02.739999744,62.54,17,62.59,1
2008-01-02 18:20:02.857999872,62.54,25,62.59,1
2008-01-02 18:20:02.857999872,62.54,23,62.59,1
2008-01-02 18:20:02.948000256,62.56,2,62.59,1
2008-01-02 18:20:03.598000384,62.54,15,62.59,1
2008-01-02 18:20:03.810000128,62.54,7,62.59,1
2008-01-02 18:20:03.874000384,62.55,2,62.59,1
2008-01-02 18:20:07.388999680,62.54,15,62.59,1
2008-01-02 18:20:07.573000704,62.56,2,62.59,1
2008-01-02 18:20:08.534000128,62.56,3,62.59,1
2008-01-02 18:20:11.663000064,62.56,4,62.59,1
2008-01-02 18:20:11.963000320,62.56,3,62.59,1
2008-01-02 18:20:13.452999936,62.56,3,62.6,2
2008-01-02 18:20:13.452999936,62.56,3,62.6,3
2008-01-02 18:20:13.584001024,62.56,4,62.6,3
2008-01-02 18:20:13.584001024,62.56,4,62.6,1
2008-01-02 18:20:16.289000448,62.56,6,62.6,1
2008-01-02 18:20:16.818000128,62.56,4,62.6,1
2008-01-02 18:20:19.041000960,62.56,4,62.59,2
2008-01-02 18:20:19.387000320,62.56,3,62.59,2
2008-01-02 18:20:19.994000128,62.56,4,62.59,2
2008-01-02 18:20:19.994000128,62.57,1,62.59,2
2008-01-02 18:20:20.660999936,62.57,2,62.59,2
2008-01-02 18:20:20.743999744,62.57,4,62.59,2
2008-01-02 18:20:20.743999744,62.57,4,62.61,1
2008-01-02 18:20:20.972999936,62.57,2,62.61,1
2008-01-02 18:20:21.048000000,62.57,1,62.61,1
2008-01-02 18:20:21.112999936,62.57,1,62.62,1
2008-01-02 18:20:21.112999936,62.57,1,62.62,2
2008-01-02 18:20:21.112999936,62.58,2,62.62,2
2008-01-02 18:20:21.370999296,62.58,2,62.62,1
2008-01-02 18:20:21.370999296,62.58,2,62.64,4
2008-01-02 18:20:21.398000128,62.58,2,62.61,1
2008-01-02 18:20:21.412000000,62.58,3,62.61,1
2008-01-02 18:20:21.573000448,62.58,4,62.61,1
2008-01-02 18:20:21.683000320,62.58,8,62.61,1
2008-01-02 18:20:21.972999936,62.58,7,62.61,1
2008-01-02 18:20:22.323000576,62.58,6,62.61,1
2008-01-02 18:20:22.484999936,62.58,5,62.61,1
2008-01-02 18:20:22.888000256,62.58,1,62.61,1
2008-01-02 18:20:23.263000064,62.58,1,62.6,1
2008-01-02 18:20:23.263000064,62.58,1,62.63,2
2008-01-02 18:20:23.263000064,62.58,1,62.6,1
2008-01-02 18:20:23.263000064,62.57,2,62.6,1
2008-01-02 18:20:23.274999552,62.57,2,62.59,1
2008-01-02 18:20:23.274999552,62.57,2,62.59,2
2008-01-02 18:20:23.308999680,62.57,2,62.59,3
2008-01-02 18:20:23.308999680,62.57,2,62.59,2
2008-01-02 18:20:23.408999936,62.57,2,62.59,3
2008-01-02 18:20:23.573000192,62.57,2,62.59,2
2008-01-02 18:20:23.573000192,62.57,2,62.58,1
2008-01-02 18:20:23.825999872,62.55,7,62.58,1
2008-01-02 18:20:23.978999552,62.56,2,62.58,1
2008-01-02 18:20:24.079000320,62.56,2,62.58,2
2008-01-02 18:20:24.108000256,62.56,2,62.58,3
2008-01-02 18:20:24.296001024,62.56,2,62.58,2
2008-01-02 18:20:24.296001024,62.56,2,62.58,1
2008-01-02 18:20:24.296999936,62.56,2,62.62,3
2008-01-02 18:20:24.296999936,62.56,2,62.59,1
2008-01-02 18:20:24.384000768,62.56,2,62.58,1
2008-01-02 18:20:24.619000064,62.56,2,62.59,1
2008-01-02 18:20:26.004000000,62.54,10,62.59,1
2008-01-02 18:20:26.304999680,62.54,12,62.59,1
2008-01-02 18:20:26.324999936,62.54,13,62.59,1
2008-01-02 18:20:26.393999872,62.54,15,62.59,1
2008-01-02 18:20:27.088999680,62.54,13,62.59,1
2008-01-02 18:20:28.005999616,62.54,15,62.59,1
2008-01-02 18:20:28.552999936,62.55,1,62.59,1
2008-01-02 18:20:30.864000000,62.55,1,62.58,1
2008-01-02 18:20:33.133999872,62.55,3,62.58,1
2008-01-02 18:20:33.574999808,62.55,1,62.58,1
2008-01-02 18:20:33.900999424,62.55,2,62.58,1
2008-01-02 18:20:33.900999424,62.55,1,62.58,1
2008-01-02 18:20:34.447000064,62.55,1,62.59,1
2008-01-02 18:20:35.007000064,62.55,2,62.59,1
2008-01-02 18:20:35.085000192,62.55,1,62.59,1
2008-01-02 18:20:35.549000192,62.55,2,62.59,1
2008-01-02 18:20:36.526000128,62.55,2,62.58,3
2008-01-02 18:20:40.719000064,62.55,2,62.57,1
2008-01-02 18:20:40.719000064,62.55,1,62.57,1
2008-01-02 18:20:40.830000128,62.55,1,62.58,3
2008-01-02 18:20:44.262000384,62.55,1,62.58,4
2008-01-02 18:20:44.326000128,62.55,1,62.58,5
2008-01-02 18:20:44.347000576,62.55,1,62.58,4
2008-01-02 18:20:44.463000832,62.54,2,62.58,4
2008-01-02 18:20:44.464000256,62.53,3,62.58,4
2008-01-02 18:20:44.464000256,62.53,2,62.58,4
2008-01-02 18:20:44.464000256,62.53,2,62.57,1
2008-01-02 18:20:44.464000256,62.53,2,62.56,1
2008-01-02 18:20:44.682000384,62.52,11,62.56,1
2008-01-02 18:20:44.682000384,62.52,7,62.56,1
2008-01-02 18:20:44.805999616,62.5,60,62.56,1
2008-01-02 18:20:44.904000512,62.5,60,62.55,1
2008-01-02 18:20:44.904000512,62.5,58,62.55,1
2008-01-02 18:20:44.904000512,62.5,62,62.55,1
2008-01-02 18:20:45.112999680,62.51,2,62.55,1
2008-01-02 18:20:45.517999616,62.51,3,62.55,1
2008-01-02 18:20:46.151000064,62.51,3,62.55,2
